Nome;Categoria;Prezzo;Peso;Kcal;Carboidrati;Zuccheri;Grassi;Fibre;Proteine
Banco panetteria CarrefourFiloncino alla pancetta;pane e snack;€ 1,49;0.15 kg;N/D;N/D;N/D;N/D;N/D;N/D
Carrefour BioPane Tartarugone Bio;pane e snack;€ 3,00;0.50 kg;N/D;N/D;N/D;N/D;N/D;N/D
Carrefour BioPane Bozza Toscana Bio;pane e snack;€ 2,29;0.50 kg;N/D;N/D;N/D;N/D;N/D;N/D
Carrefour il MercatoCarrefour il Mercato Pane di semola Pugliese Classico 380 g Filiera Qualità Carrefour;pane e snack;€ 2,99;0.38 kg;N/D;N/D;N/D;N/D;N/D;N/D
PanePane di semola di grano duro;pane e snack;€ 5,99;1.00 kg;N/D;N/D;N/D;N/D;N/D;N/D
Carrefour il MercatoCarrefour il Mercato Pane al cioccolato belga 380 g;pane e snack;€ 2,99;0.38 kg;N/D;N/D;N/D;N/D;N/D;N/D
Banco PanetteriaFocaccina Semplice da Banco;pane e snack;€ 1,80;0.15 kg;N/D;N/D;N/D;N/D;N/D;N/D
Banco panetteria CarrefourFocaccine alle olive da banco;pane e snack;€ 2,32;0.18 kg;N/D;N/D;N/D;N/D;N/D;N/D
Banco panetteria CarrefourFocaccia al gorgonzola da banco;pane e snack;€ 2,32;0.18 kg;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour Mandorle Tostate e salate 100 g;pane e snack;€ 2,09;100.0 g;598 kcal;8,7 g;4,2 g;51 g;12 g;20 g
CarrefourCarrefour il Mercato Arachidi in guscio tostate;pane e snack;€ 3,99;1000.0 g;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour Classic Anacardi Tostati e Salati 175 g;pane e snack;€ 3,99;175.0 g;619 kcal;17 g;6,9 g;50 g;7,7 g;21 g
cameocameo Snack Friends Pistacchi Tostati e Salati 120 g;pane e snack;€ 4,10;120.0 g;622 kcal;20 g;7,0 g;50 g;N/D;23 g
Lay'sLay's Max Gusto Formaggio 115 g;pane e snack;€ 1,49;N/D;518 kcal;52 g;3,1 g;31 g;4,3 g;6,8 g
SottiletteSottilette Classiche formaggio fuso a fette - 400g;pane e snack;€ 3,59;400.0 g;224 kcal;4,5 g;4,5 g;14 g;3,0 g;17 g
Banco Panetteria CarrefourMix mini croissant salati;pane e snack;€ 6,61;0.35 kg;N/D;N/D;N/D;N/D;N/D;N/D
cameocameo Snack Friends Arachidi Tostate e Salate Sottovuoto 300 g;pane e snack;€ 2,79;300.0 g;618 kcal;13 g;5,8 g;50 g;N/D;26 g
Terre d'ItaliaTerre d'Italia Taralli lunghi di Barletta 500 g;pane e snack;€ 3,09;N/D;463 kcal;65 g;0,9 g;17 g;3,0 g;10 g
Terre d'ItaliaTerre d'Italia Tarallini di Barletta 8 x 50 g;pane e snack;€ 3,09;N/D;463kcal;65g;0,9g;17g;3,0g;10g
Terre d'ItaliaTerre d'Italia Taralli tondi di Barletta all'olio di oliva 400 g;pane e snack;€ 2,45;N/D;1943 kJ (463 kcal);65 g;0,9 g;17 g;3,0 g;10 g
CarrefourCarrefour il Mercato Grissini all'olio di oliva;pane e snack;€ 1,00;N/D;N/D;N/D;N/D;N/D;N/D;N/D
Banco Panetteria CarrefourSalatini assortiti da banco;pane e snack;€ 3,58;0.20 kg;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCroissant integrale ai frutti di bosco 90 g;pane e snack;€ 1,09;1.00 kg;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour Classic Arachidi Tostate e Salate 200 g;pane e snack;€ 1,65;200.0 g;596 kcal;7,4 g;4,5 g;50 g;8,1 g;25 g
CarrefourCarrefour il Mercato Grissini al Sesamo;pane e snack;€ 1,00;130.0 g;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour il Mercato Grissini al Rosmarino;pane e snack;€ 1,00;130.0 g;N/D;N/D;N/D;N/D;N/D;N/D
cameocameo Snack Friends Arachidi Tostate e Salate Sottovuoto 3 x 40 g;pane e snack;€ 1,95;120.0 g;618 kcal;13 g;5,8 g;50 g;N/D;26 g
Terre d'ItaliaTerre d'Italia Taralli tondi di Barletta ai semi di finocchio 400 g;pane e snack;€ 2,45;N/D;1943 kJ (463 kcal);65 g;0,9 g;17 g;3,0 g;10 g
Terre d'ItaliaTerre d'Italia Taralli tondi di Barletta al peperoncino 400 g;pane e snack;€ 2,45;N/D;1943 kJ (463 kcal);65 g;0,9 g;17 g;3,0 g;10 g
Carrefour2 x Croissant all'albicocca 75 g;pane e snack;€ 1,29;N/D;N/D;N/D;N/D;N/D;N/D;N/D
Banco Panetteria CarrefourRustici con wurstel da banco;pane e snack;€ 3,58;0.20 kg;N/D;N/D;N/D;N/D;N/D;N/D
Carrefour2 x Croissant vuoto 45 g;pane e snack;€ 1,58;2.00 kg;N/D;N/D;N/D;N/D;N/D;N/D
"Terre d'ItaliaTerre d'Italia Taralli tondi di Barletta con farina di grano ""arso"" 300 g";pane e snack;€ 2,45;N/D;1849 kJ (440 kcal);69 g;0,9 g;13 g;4,9 g;9,8 g
cameocameo Snack Friends Arachidi Tostate e Salate Sottovuoto 500 g;pane e snack;€ 4,49;500.0 g;618 kcal;13 g;5,8 g;50 g;N/D;26 g
Carrefour2 x Croissant al cioccolato 75 g;pane e snack;€ 1,29;0.15 kg;N/D;N/D;N/D;N/D;N/D;N/D
La Pasticceria CarrefourCrostata di frutta fresca;pane e snack;€ 26,28;1.20 kg;N/D;N/D;N/D;N/D;N/D;N/D
Mulino BiancoMulino Bianco Pan Bauletto Bianco Pane Ideale per Panini 400g;pane e snack;€ 1,09;400.0 g;268 kcal;49 g;8,0 g;3,2 g;4,5 g;8,5 g
Mulino BiancoMulino Bianco Pan Bauletto Integrale Pane Ideale per Panini 400g;pane e snack;€ 1,25;400.0 g;275 kcal;38 g;7,0 g;6,8 g;N/D;11 g
Mulino BiancoMulino Bianco Pan Bauletto Grano Duro Pane Ideale per Panini 400g;pane e snack;€ 1,35;400.0 g;258 kcal;45 g;8,4 g;3,9 g;5,0 g;8,7 g
Mulino BiancoMulino Bianco Pan Bauletto Cereali e Soia Pane Ideale per Panini 400g;pane e snack;€ 1,05;400.0 g;278 kcal;42 g;7,0 g;5,9 g;6,0 g;11 g
Mulino BiancoMulino Bianco Piadelle Sfogliate Ideale per Piadina 3pz 330g;pane e snack;€ 2,29;330.0 g;361 kcal;49 g;3,5 g;14 g;3,5 g;7,5 g
Gran PavesiGran Pavesi il Cracker Salato con Grano 100% italiano 560g;pane e snack;€ 2,35;560.0 g;1835 kJ/436 kcal;64 g;3,2 g;14 g;5,2 g;11 g
FonziesFonzies Gli Originali Croccantini di Mais al Formaggio - 211,5g;pane e snack;€ 2,95;212.0 g;551 kcal;53 g;6,3 g;34 g;1,9 g;7,4 g
Mulino BiancoMulino Bianco Cuor di Pane Pane Bianco Ideale per Tramezzino Nuova Morbidezza 325g;pane e snack;€ 2,35;325.0 g;257 kcal;45 g;10 g;4,1 g;4,2 g;7,9 g
San CarloSan Carlo 1936 150 g;pane e snack;€ 2,05;150.0 g;484 kcal;57 g;0,6 g;24 g;5,5 g;7,2 g
Mulino BiancoMulino Bianco Armonia Fiori d'Acqua Cracker Senza Lievito Ricchi di Fibre 250g;pane e snack;€ 1,85;N/D;409 kcal;73 g;2,5 g;7,0 g;5,5 g;11 g
CarrefourCarrefour Classic Piadine Classiche 3 x 120 g;pane e snack;€ 1,39;360.0 g;312 kcal;50 g;1,1 g;8,3 g;1,4 g;8,6 g
CarrefourCarrefour Classic Pane Grattugiato 500 g;pane e snack;€ 1,09;500.0 g;369 kcal;77 g;3,0 g;1,2 g;3,9 g;11 g
CarrefourCarrefour il Mercato Tarallini Caserecci;pane e snack;€ 1,00;250.0 g;N/D;N/D;N/D;N/D;N/D;N/D
Mulino BiancoMulino Bianco Cracker Salati con Farina Sostenibile 500g;pane e snack;€ 1,85;500.0 g;439 kcal;68 g;2,5 g;13 g;4,8 g;10 g
Gran PavesiGran Pavesi il Cracker Salato Senza Granelli di Sale in Superficie 560g;pane e snack;€ 2,35;560.0 g;1825 kJ/434 kcal;68 g;3,3 g;12 g;5,2 g;11 g
Mulino BiancoMulino Bianco Pancarre 24 fette 430g;pane e snack;€ 0,89;430.0 g;285 kcal;51 g;6,5 g;4,5 g;3,9 g;8,1 g
PringlesPringles Original 175 g;pane e snack;€ 2,75;175.0 g;528 kcal;54 g;0.9 g;31 g;4.1 g;6.2 g
CarrefourCarrefour Classic Grissini Torinesi 6 x 50 g;pane e snack;€ 1,19;300.0 g;421 kcal;70 g;3,5 g;11 g;4,0 g;9,9 g
TucTuc Cracker Classico - 250 g;pane e snack;€ 2,19;250.0 g;461 kcal;65 g;9,1 g;18 g;3,5 g;8,3 g
CarrefourCarrefour Classic Pane Senza Crosta a Fette 400 g;pane e snack;€ 1,99;400.0 g;255 kcal;47 g;6,8 g;3,6 g;3,1 g;7,8 g
Carrefour BioCarrefour Bio Gallette di Riso 120 g;pane e snack;€ 0,99;120.0 g;379 kcal;80 g;0,6 g;2,2 g;2,8 g;7,9 g
CarrefourCarrefour Classic Pane Integrale 400 g;pane e snack;€ 1,09;400.0 g;246 kcal;37 g;4,0 g;5,2 g;7,2 g;9,2 g
DoriaDoria Semplicissimi Crackers Grano Saraceno e Semi di Chia - 245 g;pane e snack;€ 1,56;245.0 g;447 kcal;65 g;2,2 g;15 g;4,8 g;9,9 g
Terre d'ItaliaTerre d'Italia Piadina Romagnola IGP alla Riminese 3 piadine 3 x 120 g;pane e snack;€ 1,99;N/D;344 kcal;49 g;1,0 g;13 g;2,2 g;7,2 g
CarrefourCarrefour Classic Pop Corn 90 g;pane e snack;€ 0,75;90.0 g;526 kcal;54 g;1,0 g;29 g;7,3 g;8,7 g
San CarloSan Carlo rustica 300 g;pane e snack;€ 3,15;300.0 g;503 kcal;55 g;0,6 g;27 g;5,4 g;7,4 g
CarrefourCarrefour Classic Patatine Rustiche 200 g;pane e snack;€ 1,49;200.0 g;538 kcal;52 g;<0,5 g;33 g;3,5 g;6,5 g
Carrefour BioCarrefour Bio Gallette di Riso con Cioccolato fondente 4 x 34 g;pane e snack;€ 3,55;136.0 g;482 kcal;63 g;26 g;22 g;4,0 g;7,0 g
San CarloSan Carlo 1936 6 x 25 g;pane e snack;€ 2,99;150.0 g;484 kcal;57 g;0,6 g;24 g;5,5 g;7,2 g
Amica ChipsAmica Chips Eldorada Tradizionale 130 g;pane e snack;€ 1,55;130.0 g;479 kcal;56,8 g;0,5 g;23,8 g;4,8 g;7,0 g
Mini BabybelMini Babybel Rosso Formaggio 5 x 20 g;pane e snack;€ 2,49;100.0 g;295 kcal;< 0,5 g;< 0,5 g;23 g;N/D;22 g
CarrefourCarrefour Classic Patatine Classiche 200 g;pane e snack;€ 1,29;200.0 g;538 kcal;52 g;<0,5 g;33 g;3,5 g;6,5 g
CarrefourCarrefour Classic Cracker Salati con Granelli di Sale in Superficie 16 x 31,25 g;pane e snack;€ 1,29;500.0 g;432 kcal;72 g;2,3 g;11 g;2,8 g;9,8 g
Banco Panetteria CarrefourPane tartarughe;pane e snack;€ 3,00;0.50 kg;N/D;N/D;N/D;N/D;N/D;N/D
CipsterCipster The Original Chips di Patate Multipack x6 - 132g;pane e snack;€ 1,95;132.0 g;476 kcal;64 g;0,7 g;22 g;3,9 g;4,2 g
Mulino BiancoMulino Bianco Granetti Crostini 280g;pane e snack;€ 2,09;280.0 g;420 kcal;70 g;4,0 g;10 g;5,2 g;10 g
CarrefourCarrefour Classic Piadine Integrali 3 x 100 g;pane e snack;€ 1,25;300.0 g;300 kcal;44 g;2,0 g;8,6 g;6,1 g;8,7 g
BiraghiBiraghi Bi-Snack la Merenda con Biraghino Snack 16,67 g + Taralli Pugliesi 20 g;pane e snack;€ 0,99;36.0 g;1932 kJ - 460 kcal;66 g;1 g;17 g;2,6 g;9,4 g
Banco PanetteriaCiabatta Come Una Volta;pane e snack;€ 1,59;220.0 g;N/D;N/D;N/D;N/D;N/D;N/D
Mulino BiancoMulino Bianco Pangrì Grissini con Nuova Apertura Facilitata 300g;pane e snack;€ 2,09;300.0 g;434 kcal;66 g;2,0 g;13 g;4,5 g;12 g
MoratoMorato Spuntinelle Bianco 12 x 33,3 g;pane e snack;€ 1,95;400.0 g;252kcal;45 g;2,4 g;4,0 g;1,4 g;8,3 g
MoratoMorato American Sandwich Bianco 14 x 39,3 g;pane e snack;€ 1,95;550.0 g;266kcal;51 g;9,3 g;2,4 g;2,9 g;8,1 g
Mulino BiancoMulino Bianco Pancarre 16 fette 285g;pane e snack;€ 0,97;285.0 g;285 kcal;51 g;6,5 g;4,5 g;3,9 g;8,1 g
Carrefour BioCarrefour Bio Gallette di Grano Saraceno 100 g;pane e snack;€ 2,25;100.0 g;386 kcal;73 g;1,1 g;3,5 g;5,5 g;13 g
CarrefourCarrefour Classic Pan Carrè 330 g;pane e snack;€ 0,75;330.0 g;286 kcal;51 g;5,5 g;4,9 g;2,5 g;8,2 g
CarrefourCarrefour Cheese Max 125 g;pane e snack;€ 0,89;125.0 g;490 kcal;62 g;4,7 g;23 g;2,2 g;7,4 g
SimplSimpl Patatine 400 g;pane e snack;€ 1,75;400.0 g;538 kcal;52 g;<0,5 g;33 g;3,5 g;6,5 g
FiorentiniFiorentini gli Originali Mini Choco Mais Cioccolato Fondente 60 g;pane e snack;€ 1,89;60.0 g;475 kcal;58 g;18 g;22 g;5,0 g;8,4 g
DoriaDoria Semplicissimi Crackers Zucca Rosmarino e Semi di Miglio Bianco - flowpack 280g;pane e snack;€ 1,83;280.0 g;442 kcal;61 g;3,6 g;15 g;10 g;11 g
CarrefourCarrefour Classic Pane Grattugiato 400 g;pane e snack;€ 1,29;400.0 g;369 kcal;77 g;3,0 g;1,2 g;3,9 g;11 g
WasaWasa Integrale Cracker con Solo Due Ingredienti 270g;pane e snack;€ 1,99;270.0 g;338 kcal;62 g;2,0 g;1,5 g;20 g;9,0 g
Gran PavesiGran Pavesi Sfoglie Classiche Snack Cotto al Forno 180g;pane e snack;€ 1,79;180.0 g;427 kcal;68 g;11 g;12 g;5,2 g;9,2 g
Carrefour BioCarrefour Bio Triangolini di mais con legumi 70 g;pane e snack;€ 1,25;70.0 g;423 kcal;66 g;0,8 g;11 g;6,0 g;13 g
FiorentiniFiorentini gli Originali Si&No Mais Bio 100 g;pane e snack;€ 1,79;100.0 g;1814 kJ / 430 kcal;75 g;0,5 g;11 g;2,2 g;6,0 g
RitzRitz Original Mini Crackers Multipack 6 Bustine - 240g;pane e snack;€ 2,09;240.0 g;486 kcal;61 g;8,6 g;22 g;3,3 g;7,9 g
Mulino BiancoMulino Bianco Sgranocchi Sfiziosi Grissini con Riso, Avena, Mais e Semi di Sesamo 210g;pane e snack;€ 2,59;210.0 g;446 kcal;64 g;3,0 g;15 g;4,9 g;11 g
CarrefourCarrefour Extra Patatine gusto Lime e Pepe Rosa 100 g;pane e snack;€ 0,85;100.0 g;547 kcal;54 g;3,2 g;33 g;3,5 g;6,8 g
Terre d'ItaliaTerre d'Italia Focaccia croccante di Genova a tocchetti 150 g;pane e snack;€ 2,49;N/D;463 kcal;65 g;2,2 g;18 g;3,0 g;8,8 g
Mulino BiancoMulino Bianco Cracker non Salati con Farina Sostenibile 500g;pane e snack;€ 1,85;500.0 g;439 kcal;68 g;2,5 g;13 g;4,8 g;10 g
MoratoMorato Nuvolatte Morbidi Panini al Latte 8 x 50 g;pane e snack;€ 2,65;400.0 g;1353kJ/321kcal;54 g;9,3 g;7,5 g;2,5 g;7,9 g
ParmareggioParmareggio l'ABC della merenda con Plumcake;pane e snack;€ 0,99;N/D;213 kJ - 50 kcal;11,2 g;11,1 g;0,1 g;N/D;0,7 g
CarrefourCarrefour Classic Pane a Fette agli 8 Cereali 400 g;pane e snack;€ 1,09;400.0 g;272 kcal;46 g;5,3 g;5,0 g;5,0 g;8,6 g
CarrefourCarrefour Classic Cracker Integrali 16 x 31,25 g;pane e snack;€ 1,29;500.0 g;429 kcal;68 g;2,0 g;11 g;6,8 g;11 g
RobertoRoberto Maxi Hamburger con semi di sesamo 4 Panini 300 g;pane e snack;€ 1,85;300.0 g;1200 kJ / 284 kcal;50 g;8 g;4,8 g;2,4 g;9 g
Fratelli BerettaFratelli Beretta SalaMini Classico 2 x 42,5 g;pane e snack;€ 2,19;85.0 g;2002 kJ / 483 kcal;0,5 g;<0,5 g;41 g;N/D;28 g
CarrefourCarrefour Classic Grissini Friabili 4 x 62,5 g;pane e snack;€ 1,05;250.0 g;411 kcal;71 g;3,0 g;8,0 g;2,6 g;13 g
DelverdeDelverde Crostino dorato Croccante 300 g;pane e snack;€ 2,49;300.0 g;417 kcal;74,2 g;3,9 g;7,2 g;4,7 g;11,6 g
CarrefourCarrefour Classic Schiacciatine Rosmarino 6 x 37,5 g;pane e snack;€ 1,09;225.0 g;423 kcal;67 g;3,4 g;12 g;3,0 g;11 g
CarrefourCarrefour Classic Schiacciatine Classiche 6 x 37,5 g;pane e snack;€ 1,09;225.0 g;424 kcal;68 g;3,3 g;12 g;2,6 g;11 g
Mulino BiancoMulino Bianco Focaccelle all'Olio Extra Vergine di Oliva Merenda Salata 198g;pane e snack;€ 2,35;N/D;346 kcal;40,6 g;4,0 g;16,2 g;3,8 g;7,5 g
Lay'sLay's Classiche 145 g;pane e snack;€ 1,49;N/D;508 kcal;54 g;0,4 g;29 g;3,8 g;6,1 g
CarrefourCarrefour Classic Panino Maxi per Hamburger 4 x 75 g;pane e snack;€ 1,09;300.0 g;289 kcal;51 g;4,7 g;5,0 g;2,8 g;8,7 g
Mulino BiancoMulino Bianco Gran Bauletto Pane Rustico 500g;pane e snack;€ 2,75;500.0 g;287 kcal;39 g;8,0 g;8,0 g;7,0 g;11 g
Mulino BiancoMulino Bianco Pan Carrè Pane Integrale Ideale per Toast 315g;pane e snack;€ 1,19;315.0 g;271 kcal;42 g;6,5 g;5,5 g;7,4 g;9,6 g
DailyBreadDailyBread 4 Cereali con Semi di Lino e di Girasole 500 g;pane e snack;€ 1,99;500.0 g;1018 kJ - 242 kcal;39 g;2,5 g;4,5 g;5,5 g;8,5 g
ParmareggioParmareggio l'ABC della merenda con Parmigiano Reggiano e Taralli Senza Glutine;pane e snack;€ 1,26;N/D;213 kJ / 50 kcal;11,2 g;11,1 g;0,1 g;N/D;0,7 g
WasaWasa Original Cracker con 100% Farina di Segale Ricchi di Fibre 275g;pane e snack;€ 1,99;275.0 g;334 kcal;61,5 g;1,0 g;1,5 g;19 g;9,0 g
CarrefourCarrefour Classic Pane per Hot Dog 4 x 62,5 g;pane e snack;€ 0,99;250.0 g;289 kcal;50 g;6,4 g;4,8 g;3,1 g;9,9 g
CarrefourCarrefour Classic Pane a Fette di Grano Duro 400 g;pane e snack;€ 1,09;400.0 g;264 kcal;45 g;5,0 g;3,9 g;3,6 g;11 g
4 Salti in Padella4 Salti in Padella Findus Risotto allo Scoglio 300 g;pasta riso e farina;€ 3,99;300.0 g;124 kcal;21 g;1,3 g;2,6 g;<0,5 g;4,1 g
La MolisanaLa Molisana 108 Fusilli Corti Bucati 500 g;pasta riso e farina;€ 1,49;500.0 g;1489 kJ / 351 kcal;70g;4,0g;1,0g;3,0g;14g
La MolisanaLa Molisana 19 Mezze Penne Rigate 500 g;pasta riso e farina;€ 1,49;500.0 g;1489 kJ / 351 kcal;70g;4,0g;1,0g;3,0g;14g
La MolisanaLa Molisana 30 Orecchiette Pugliesi 500 g;pasta riso e farina;€ 1,49;500.0 g;1489 kJ / 351 kcal;70g;4,0g;1,0g;3,0g;14g
Carrefour BioCarrefour Bio Penne rigate integrali biologiche n°103 500 g;pasta riso e farina;€ 0,99;500.0 g;348 kcal;64 g;2,5 g;2,2 g;8,3 g;14 g
Donazione al Banco AlimentareBox Solidarietà Piccola;pasta riso e farina;€ 8,00;1.0 pz;N/D;N/D;N/D;N/D;N/D;N/D
GalloGallo blond Versatile 1 Kg;pasta riso e farina;€ 4,55;1000.0 g;349 kcal;78 g;0,6 g;0,8 g;0,9 g;6,9 g
Donazione al Banco AlimentareBox Solidarietà Grande;pasta riso e farina;€ 15,00;1.0 pz;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour Classic Riso Carnaroli 1 Kg;pasta riso e farina;€ 3,49;1000.0 g;351 kcal;77 g;<0,5 g;1,3 g;1,9 g;6,9 g
CarrefourCarrefour Classic Semolino di Grano Duro 250 g;pasta riso e farina;€ 0,55;250.0 g;345 kcal;67 g;1,8 g;1,9 g;4,1 g;13 g
CarrefourCarrefour Semola di Grano Duro Rimacinata 1 kg;pasta riso e farina;€ 1,39;1000.0 g;347 kcal;69 g;1,0 g;1,5 g;2,6 g;13 g
CarrefourCarrefour Classic Lievito Istantaneo 80 g;pasta riso e farina;€ 0,79;80.0 g;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour Miscela per Pane e Pizza 1 kg;pasta riso e farina;€ 1,29;1000.0 g;342 kcal;71 g;1,0 g;1,4 g;2,6 g;10 g
CarrefourCarrefour Dolci & Decori Fecola di patate 250 g;pasta riso e farina;€ 0,95;250.0 g;325 kcal;81 g;0 g;0 g;N/D;<0,5 g
Carrefour No GlutenCarrefour No Gluten Lievito Istantaneo per Pizza 3 x 16 g;pasta riso e farina;€ 1,25;48.0 g;152 kcal;37 g;<0,5 g;<0,5 g;N/D;<0,5 g
CarrefourCarrefour Semi di Zucca 250 g;pasta riso e farina;€ 4,09;250.0 g;593 kcal;4,7 g;1,6 g;49 g;6,0 g;30 g
CarrefourCarrefour Semi di Lino 250 g;pasta riso e farina;€ 1,55;250.0 g;514 kcal;1,6 g;1,6 g;42 g;27 g;18 g
Carrefour No GlutenCarrefour No Gluten Lievito Vaniglinato per Dolci 3 x 16 g;pasta riso e farina;€ 1,25;48.0 g;191 kcal;46 g;<0,5 g;<0,5 g;N/D;<0,5 g
CarrefourCarrefour Semi di Girasole 250 g;pasta riso e farina;€ 2,09;250.0 g;609 kcal;11 g;2,6 g;51 g;8,6 g;21 g
CarrefourCarrefour Fantasia di Semi 250 g;pasta riso e farina;€ 2,45;250.0 g;587 kcal;8,1 g;2,2 g;49 g;12 g;22 g
CarrefourCarrefour Classic Cremor Tartaro 2 x 8 g;pasta riso e farina;€ 1,39;16.0 g;N/D;N/D;N/D;N/D;N/D;N/D
BarillaBarilla Cous Cous 500 g;pasta riso e farina;€ 2,49;500.0 g;359 kcal;71 g;3,5 g;2 g;3 g;13 g
alce neroalce nero Couscous di Grano Duro Integrale 500 g;pasta riso e farina;€ 2,75;500.0 g;346 kcal;66 g;1,9 g;2,4 g;6,4 g;12 g
CarrefourCarrefour Polenta Veloce 500 g;pasta riso e farina;€ 1,49;500.0 g;347 kcal;76 g;<0,5 g;1,0 g;3,1 g;6,7 g
"BarillaBarilla Farina Tipo ""00"" di Grano Tenero 1000 g";pasta riso e farina;€ 1,25;1000.0 g;345 kcal;71 g;<0,5 g;1,4 g;3,0 g;11 g
"SimplSimpl Farina ""00"" di grano tenero 1 Kg";pasta riso e farina;€ 0,49;1000.0 g;399 kcal;73 g;1,0 g;0,8 g;2,0 g;9,0 g
MuttiMutti Sugo con Pomodoro Rossoro e con Basilico Genovese DOP 280 g;pasta riso e farina;€ 1,75;280.0 g;234 kJ / 56 kcal;5,3 g;4,5 g;2,8 g;N/D;1,6 g
"PANEANGELIPANEANGELI ""Lievito Pane degli Angeli"" Vaniglinato per Dolci 3 x 16 g";pasta riso e farina;€ 1,25;48.0 g;N/D;N/D;N/D;N/D;N/D;N/D
La MolisanaLa Molisana integrale 28 Fusilli 500 g;pasta riso e farina;€ 1,75;500.0 g;1494 kJ/353 kcal;65 g;3,3 g;2,0 g;8,0 g;15 g
BarillaBarilla Pasta Spaghetti n.5 1Kg;pasta riso e farina;€ 1,85;1000.0 g;1521 kJ / 359 kcal;71 g;3,5 g;2,0 g;3,0 g;13 g
granorogranoro i Classici N. 18 Mezzi Rigatoni 500 g;pasta riso e farina;€ 0,79;500.0 g;355kcal;71 g;3,0 g;1,5 g;3,0 g;13 g
BarillaBarilla Pasta Fusilli n.98 1Kg;pasta riso e farina;€ 1,85;1000.0 g;359 kcal;71 g;3,5 g;2,0 g;3,0 g;13 g
BarillaBarilla Pasta Risoni n.26 500g;pasta riso e farina;€ 0,99;500.0 g;359 kcal;72 g;3,5 g;2,0 g;3,0 g;12 g
granorogranoro i Classici N. 26 Penne Rigate 500 g;pasta riso e farina;€ 0,79;500.0 g;355kcal;71 g;3,0 g;1,5 g;3,0 g;13 g
PANEANGELIPANEANGELI Lievito di Birra Mastro Fornaio per Pizze, Focacce, Pani Speciali e Dolci 3 x 7 g;pasta riso e farina;€ 1,25;21.0 g;N/D;N/D;N/D;N/D;N/D;N/D
RummoRummo Fusilli N° 48 500 g;pasta riso e farina;€ 1,65;500.0 g;356 kcal;69,5 g;3,1 g;1,6 g;2,9 g;14,5 g
granorogranoro i Classici N. 14 Spaghetti Ristoranti 500 g;pasta riso e farina;€ 0,79;500.0 g;355kcal;71 g;3,0 g;1,5 g;3,0 g;13 g
RummoRummo Penne Rigate N° 66 500 g;pasta riso e farina;€ 1,65;500.0 g;356 kcal;69,5 g;3,1 g;1,6 g;2,9 g;14,5 g
BarillaBarilla Pasta Penne Rigate n.73 1Kg;pasta riso e farina;€ 1,85;1000.0 g;359 kcal;71 g;3,5 g;2,0 g;3,0 g;13 g
BarillaBarilla Pasta Ditalini Rigati n.47 500g;pasta riso e farina;€ 0,99;500.0 g;359 kcal;72 g;3,5 g;2,0 g;3,0 g;12 g
BarillaBarilla Pasta Mezze Penne Rigate n.70 1Kg;pasta riso e farina;€ 1,85;1000.0 g;359 kcal;71 g;3,5 g;2,0 g;3,0 g;13 g
RummoRummo Spaghetti Grossi N° 5 500 g;pasta riso e farina;€ 1,65;500.0 g;356 kcal;69,5 g;3,1 g;1,6 g;2,9 g;14,5 g
Terre d'ItaliaTerre d'Italia Pasta di Gragnano IGP Fusilli 500 g;pasta riso e farina;€ 1,29;N/D;348 kcal;68 g;3,0 g;1,4 g;3,4 g;14 g
CarrefourCarrefour Classic Ditalini Rigati N.49 500 g;pasta riso e farina;€ 0,65;500.0 g;353 kcal;71 g;3,5 g;1,5 g;3,0 g;13 g
BarillaBarilla Emiliane Tortellini Pasta all'Uovo 250 g;pasta riso e farina;€ 2,09;N/D;405 kcal;56 g;2,0 g;13 g;3,3 g;16 g
CarrefourCarrefour Riso Basmati 1 kg;pasta riso e farina;€ 3,99;1000.0 g;356 kcal;77 g;<0,5 g;1,3 g;0,9 g;8,4 g
"Carrefour BioCarrefour Bio Farina di grano tenero tipo ""00"" 1000 g";pasta riso e farina;€ 0,99;1000.0 g;339 kcal;73 g;1,0 g;0,8 g;2,0 g;9,0 g
Riso ScottiRiso Scotti Carnaroli 1 kg;pasta riso e farina;€ 4,99;1000.0 g;348 kcal;76 g;0,5 g;1,6 g;0,7 g;7,2 g
BarillaBarilla Emiliane Tagliatelle Pasta all'Uovo 250g;pasta riso e farina;€ 1,19;N/D;367 kcal;66 g;3 g;4 g;3,5 g;15 g
CarrefourCarrefour Classic Penne Rigate N.20 500 g;pasta riso e farina;€ 0,65;500.0 g;353 kcal;71 g;3,5 g;1,5 g;3,0 g;13 g
La MolisanaLa Molisana integrale 20 Penne Rigate 500 g;pasta riso e farina;€ 1,75;500.0 g;1494 kJ/353 kcal;65 g;3,3 g;2,0 g;8,0 g;15 g
Terre d'ItaliaTerre d'Italia Pasta di Gragnano IGP Penne rigate 500 g;pasta riso e farina;€ 1,29;N/D;348 kcal;68 g;3,0 g;1,4 g;3,4 g;14 g
